                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0448,                 0.5767,                0.92928,                0.91634,                0.92213,                0.92949,                0.60336,                 1.0437,                0.54972,                0.98532,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.0329,                0.58782,                0.91993,                0.89668,                0.93345,                0.93128,                0.59958,                 1.0672,                0.55589,                0.99606,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.0368,                0.59059,                0.92265,                0.86528,                0.93011,                0.91915,                0.57481,                   1.07,                0.57778,                0.99942,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.0244,                0.57237,                0.92228,                0.87789,                0.91434,                0.92314,                0.58404,                  1.077,                0.58055,                0.99885,              0.0005075,              0.0005075,              0.0005075
                     63,                  1.015,                0.57112,                0.92173,                0.86081,                0.91177,                0.89918,                0.56663,                 1.0338,                0.57734,                0.98269,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.0298,                0.56837,                0.92247,                0.90409,                0.92209,                0.93458,                0.60088,                 1.0113,                0.56669,                 0.9825,             0.00048275,             0.00048275,             0.00048275
                     65,                0.99711,                0.55758,                0.91493,                0.88044,                0.90397,                0.91528,                0.59058,                 1.0316,                0.55829,                0.98212,             0.00047038,             0.00047038,             0.00047038
                     66,                 0.9911,                0.54092,                0.90683,                0.91062,                0.90061,                0.92968,                0.60263,                 1.0296,                0.55315,                0.97684,               0.000458,               0.000458,               0.000458
                     67,                 1.0028,                0.56094,                 0.9134,                 0.9014,                0.91276,                0.92922,                0.59278,                 1.0286,                0.55254,                0.98074,             0.00044563,             0.00044563,             0.00044563
                     68,                0.99996,                0.56784,                0.91859,                0.89982,                0.93368,                0.94483,                0.59965,                 1.0338,                0.55558,                0.98447,             0.00043325,             0.00043325,             0.00043325
                     69,                0.99433,                0.54492,                0.91933,                0.88893,                0.93258,                0.93685,                0.60179,                 1.0196,                0.54488,                 0.9838,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.0026,                0.55077,                0.92326,                0.90323,                0.92707,                0.93576,                0.59437,                 1.0485,                0.57599,                0.98793,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.0026,                0.56319,                0.91699,                0.90754,                0.93046,                0.93869,                0.59956,                 1.0698,                0.54705,                0.98894,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.0057,                0.55641,                0.92028,                0.88328,                0.91888,                0.93061,                0.58685,                 1.1059,                0.55387,                0.99967,             0.00038375,             0.00038375,             0.00038375
                     73,                0.99795,                0.55215,                0.91654,                0.90249,                0.90098,                0.93261,                0.59107,                 1.1138,                0.55813,                  1.006,             0.00037138,             0.00037138,             0.00037138
                     74,                0.99316,                0.53893,                0.91649,                0.91314,                0.91308,                 0.9401,                0.60667,                 1.0809,                0.55886,                0.98713,               0.000359,               0.000359,               0.000359
                     75,                0.97362,                0.53567,                0.90662,                0.90401,                0.93717,                0.94408,                0.60775,                  1.045,                0.55229,                0.97646,             0.00034663,             0.00034663,             0.00034663
                     76,                0.97328,                0.53868,                0.90588,                0.89737,                0.94001,                0.94126,                0.60169,                 1.0678,                0.54676,                0.98369,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.0027,                0.54579,                0.91431,                 0.8858,                 0.9444,                0.93373,                0.59966,                 1.0262,                0.53319,                 0.9804,             0.00032188,             0.00032188,             0.00032188
                     78,                0.99475,                0.54156,                0.91933,                0.88949,                0.92903,                0.92924,                 0.6021,                 1.0466,                0.53932,                0.98972,              0.0003095,              0.0003095,              0.0003095
                     79,                0.94757,                0.53614,                0.90024,                0.88305,                0.92585,                0.92618,                0.60143,                 1.0394,                0.53297,                0.98467,             0.00029713,             0.00029713,             0.00029713
                     80,                0.95147,                0.51508,                0.89405,                0.90138,                0.90296,                0.92248,                0.58749,                 1.0354,                0.53817,                0.99299,             0.00028475,             0.00028475,             0.00028475
                     81,                0.95755,                 0.5173,                0.91384,                0.89876,                0.90278,                0.92441,                0.59593,                 1.0296,                0.53042,                0.98982,             0.00027237,             0.00027237,             0.00027237
                     82,                0.96313,                0.52203,                0.90008,                0.89146,                0.92121,                0.93252,                0.60092,                 1.0421,                0.52845,                0.98906,                0.00026,                0.00026,                0.00026
                     83,                0.95319,                0.52957,                 0.9052,                0.91139,                0.90285,                0.92812,                0.59924,                 1.0573,                0.54468,                 0.9922,             0.00024762,             0.00024762,             0.00024762
                     84,                0.94521,                0.51318,                0.90481,                0.89162,                0.91895,                0.92749,                0.60119,                 1.0391,                0.53106,                0.98704,             0.00023525,             0.00023525,             0.00023525
                     85,                0.97246,                0.52503,                0.90548,                0.89045,                0.93975,                 0.9293,                 0.5969,                 1.0758,                0.54581,                0.99552,             0.00022288,             0.00022288,             0.00022288
                     86,                0.95495,                 0.5194,                0.90759,                0.87954,                0.93053,                0.93627,                0.60574,                 1.0424,                0.53875,                0.98805,              0.0002105,              0.0002105,              0.0002105
                     87,                0.95497,                 0.5052,                0.91323,                0.87388,                0.92163,                0.92689,                0.60057,                  1.088,                0.54801,                0.99339,             0.00019813,             0.00019813,             0.00019813
                     88,                 0.9538,                0.52646,                0.89589,                0.89095,                0.91897,                 0.9342,                0.60192,                 1.0537,                0.52522,                0.99102,             0.00018575,             0.00018575,             0.00018575
                     89,                0.94379,                 0.5135,                0.90071,                0.86874,                0.92718,                0.93117,                 0.5969,                   1.06,                0.52439,                0.99096,             0.00017338,             0.00017338,             0.00017338
                     90,                0.92743,                 0.4987,                0.90983,                0.89161,                 0.9328,                0.94191,                0.59926,                 1.0536,                0.53519,                0.98956,               0.000161,               0.000161,               0.000161
                     91,                0.92238,                0.51056,                0.90633,                0.88849,                0.92575,                0.93298,                0.59715,                  1.085,                0.54153,                0.99034,             0.00014862,             0.00014862,             0.00014862
                     92,                0.93471,                0.49621,                0.90897,                0.89626,                0.93024,                0.93712,                0.60097,                 1.0938,                0.53478,                0.99149,             0.00013625,             0.00013625,             0.00013625
                     93,                0.92714,                0.50789,                0.90638,                0.89524,                0.91677,                0.93374,                0.59395,                 1.0795,                0.53036,                 0.9969,             0.00012387,             0.00012387,             0.00012387
                     94,                0.90335,                0.49126,                0.90362,                0.90787,                0.91702,                0.93541,                0.59875,                 1.0735,                0.54413,                0.99598,              0.0001115,              0.0001115,              0.0001115
                     95,                0.90968,                0.48814,                0.89821,                0.89047,                0.92226,                0.93442,                0.59668,                  1.072,                 0.5383,                 0.9965,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.89858,                  0.492,                0.89652,                0.88914,                0.93059,                 0.9419,                0.60734,                 1.0456,                0.53243,                0.98873,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.89996,                0.48415,                0.90751,                0.89116,                 0.9283,                 0.9407,                0.60392,                 1.0363,                0.52987,                0.98322,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.90033,                 0.4809,                0.90064,                0.89514,                0.92302,                 0.9403,                0.59964,                 1.0577,                0.53425,                0.98938,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.89312,                0.47169,                 0.9046,                0.89755,                0.92703,                0.94126,                0.60642,                 1.0478,                0.52653,                 0.9877,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.88177,                0.47787,                0.89667,                0.88533,                0.93928,                0.93988,                 0.6085,                  1.055,                0.53866,                0.99005,              3.725e-05,              3.725e-05,              3.725e-05
